date,state,admitted_covid
26-09-22,W.P. Putrajaya,3
27-09-22,Johor,31
27-09-22,Kedah,12
27-09-22,Kelantan,10
27-09-22,Melaka,7
27-09-22,Negeri Sembilan,12
27-09-22,Pahang,8
27-09-22,Perak,25
27-09-22,Perlis,3
27-09-22,Pulau Pinang,12
27-09-22,Sabah,22
27-09-22,Sarawak,10
27-09-22,Selangor,46
27-09-22,Terengganu,2
27-09-22,W.P. Kuala Lumpur,20
27-09-22,W.P. Labuan,0
27-09-22,W.P. Putrajaya,2
28-09-22,Johor,27
28-09-22,Kedah,22
28-09-22,Kelantan,16
28-09-22,Melaka,8
28-09-22,Negeri Sembilan,9
28-09-22,Pahang,9
28-09-22,Perak,28
28-09-22,Perlis,2
28-09-22,Pulau Pinang,4
28-09-22,Sabah,18
28-09-22,Sarawak,18
28-09-22,Selangor,48
28-09-22,Terengganu,3
28-09-22,W.P. Kuala Lumpur,10
